,Annual_Deposit_Amount,Home_value,Years_with_the_bank,Loan_held,Wealth_portfolio_held,Automated_menu,Priority
105,19224,31916,3,1,0,1,1
106,50612,24960,3,0,1,2,1
107,21440,33432,3,1,0,4,1
108,25659,25659,1,0,0,2,0
109,20963,33166,2,1,0,1,1
110,25897,25897,1,0,0,3,0
111,15063,28352,2,1,0,2,0
112,18402,31955,2,1,0,2,0
113,40935,29712,4,1,1,4,1
114,21163,33678,1,1,0,2,0
115,57746,34121,2,1,1,4,1
116,26613,26613,1,0,0,4,0
117,19437,32356,1,1,0,1,0
118,26027,26027,0,0,0,2,0
119,26440,26440,1,0,0,2,0
120,25359,25359,2,0,0,3,0
121,25595,25595,2,0,0,2,0
122,61065,26275,2,0,1,3,1
123,26235,37757,2,1,0,3,1
124,17947,31681,3,1,0,2,1
125,20726,34272,1,1,0,1,0
126,19624,31661,2,1,0,4,0
127,75352,38985,0,1,1,4,1
128,26252,26252,2,0,0,1,0
129,25652,25652,2,0,0,4,0
130,26335,26335,2,0,0,4,0
131,40264,29984,1,1,1,2,1
132,25976,25976,1,0,0,1,0
133,49420,32688,3,1,1,3,1
134,46326,31303,4,1,1,3,1
135,55305,33906,2,1,1,3,1
136,17173,29164,2,1,0,2,0
137,17387,29010,2,1,0,4,0
138,19833,33970,1,1,0,2,0
139,20355,32926,2,1,0,1,1
140,21974,33851,2,1,0,2,1
141,60039,25256,2,0,1,3,1
142,25494,25494,1,0,0,3,0
143,52146,33058,3,1,1,3,1
144,25339,25339,1,0,0,1,0
145,21286,33927,2,1,0,2,0
146,59622,35286,2,1,1,4,1
147,32960,28062,1,1,1,2,1
148,25107,25107,2,0,0,3,0
149,26659,26659,1,0,0,2,0
150,58378,25731,2,0,1,1,1
151,51379,25613,2,0,1,2,1
152,46436,26204,2,0,1,3,1
153,47001,25981,2,0,1,4,1
154,22760,35017,1,1,0,3,0
155,18226,31880,0,1,0,3,0
156,25993,25993,1,0,0,3,0
157,19795,33037,2,1,0,2,0
158,17091,31821,2,1,0,4,0
159,54856,25034,1,0,1,2,1
160,59157,34823,1,1,1,3,1
161,25914,25914,1,0,0,4,0
162,17077,31919,2,1,0,3,0
163,19100,31964,2,1,0,4,0
164,26519,26519,3,0,0,3,0
165,14748,28268,1,1,0,2,0
166,26169,26169,1,0,0,4,0
167,20169,33829,1,1,0,3,0
168,25332,25332,2,0,0,3,0
169,25801,25801,2,0,0,1,0
170,20689,32697,1,1,0,3,0
171,25794,25794,0,0,0,1,0
172,43849,25374,3,0,1,4,1
173,25837,25837,2,0,0,1,0
174,15060,29665,2,1,0,2,0
175,26843,26843,2,0,0,1,0
176,26607,26607,1,0,0,2,0
177,20948,32245,1,1,0,1,0
178,17805,32306,3,1,0,4,1
179,16629,31202,3,1,0,2,1
180,26171,26171,1,0,0,2,0
181,18345,31912,1,1,0,3,0
182,14430,28501,2,1,0,3,0
183,19417,32933,1,1,0,1,0
184,17905,31952,2,1,0,4,0
185,25432,25432,2,0,0,1,0
186,24756,24756,1,0,0,4,0
187,48670,25620,0,0,1,3,1
188,26507,26507,2,0,0,4,0
189,20895,32715,3,1,0,2,1
190,17723,33358,2,1,0,3,0
191,31484,27737,2,1,1,4,1
192,26255,26255,1,0,0,2,0
193,25403,25403,2,0,0,3,0
194,71950,25619,2,0,1,3,1
195,25607,25607,0,0,0,3,0
196,25694,25694,1,0,0,2,0
197,12401,28420,1,1,0,3,0
198,21736,35929,1,1,0,1,0
199,17825,30560,2,1,0,1,0
200,25555,25555,2,0,0,3,0
201,18934,32048,3,1,0,3,1
202,26201,26201,2,0,0,2,0
203,25917,25917,2,0,0,2,0
204,23381,34661,1,1,0,4,0
205,25639,25639,2,0,0,4,0
206,64128,36556,1,1,1,3,1
207,25334,25334,2,0,0,3,0
208,23023,36834,1,1,0,1,0
209,25316,25316,2,0,0,2,0
210,37750,29852,2,1,1,1,1
211,50193,32812,4,1,1,4,1
212,25523,25523,3,0,0,4,0
213,61207,26766,0,0,1,2,1
214,16511,30028,2,1,0,2,0
215,26331,26331,1,0,0,1,0
216,59822,25216,3,0,1,2,1
217,16938,31169,2,1,0,4,0
218,59691,34303,3,1,1,3,1
219,24995,24995,1,0,0,2,0
220,24658,37461,2,1,0,2,1
221,61648,26534,2,0,1,1,1
222,24331,37102,2,1,0,2,1
223,26422,26422,1,0,0,3,0
224,25818,25818,1,0,0,2,0
225,25301,25301,2,0,0,4,0
226,26374,26374,1,0,0,2,0
227,21805,35405,2,1,0,4,0
228,50096,32869,3,1,1,1,1
229,26101,26101,1,0,0,3,0
230,19233,33684,1,1,0,3,0
231,26454,26454,2,0,0,1,0
232,25152,25152,3,0,0,3,0
233,21848,35053,1,1,0,3,0
234,19489,32264,1,1,0,3,0
235,26202,26202,1,0,0,2,0
236,54989,33146,2,1,1,4,1
237,22632,34551,2,1,0,1,1
238,25827,25827,1,0,0,2,0
239,14897,30005,1,1,0,4,0
240,19643,32076,2,1,0,3,0
241,56152,32754,3,1,1,3,1
242,19360,32332,2,1,0,2,0
243,24912,24912,1,0,0,1,0
244,26534,26534,2,0,0,1,0
245,38793,26434,3,0,1,4,1
246,66696,25461,3,0,1,4,1
247,25864,25864,1,0,0,2,0
248,20190,33119,1,1,0,2,0
249,44905,32250,4,1,1,2,1
250,50865,33109,3,1,1,4,1
251,55559,25326,2,0,1,3,1
252,61116,25518,1,0,1,3,1
253,62202,24760,4,0,1,2,1
254,49077,25546,1,0,1,4,1
255,25603,25603,1,0,0,3,0
256,60600,25214,2,0,1,3,1
257,25766,25766,1,0,0,3,0
258,19284,36601,2,1,0,1,1
259,25648,25648,1,0,0,2,0
260,18127,33333,1,1,0,2,0
261,25126,25126,0,0,0,4,0
262,21054,35253,1,1,0,2,0
263,14941,29049,1,1,0,3,0
264,62835,25364,4,0,1,1,1
265,26252,26252,1,0,0,3,0
266,69625,26105,2,0,1,4,1
267,20941,34373,1,1,0,3,0
268,18102,31745,1,1,0,3,0
269,17679,32269,1,1,0,2,0
270,21723,33671,3,1,0,3,1
271,78408,25657,1,0,1,4,1
272,25876,25876,1,0,0,1,0
273,57405,35453,4,1,1,4,1
274,25223,25223,2,0,0,3,0
275,26146,26146,2,0,0,1,0
276,25158,25158,1,0,0,4,0
277,25348,25348,2,0,0,1,0
278,25598,25598,1,0,0,1,0
279,21101,33780,1,1,0,3,0
280,48128,31445,1,1,1,1,1
281,25648,25648,1,0,0,4,0
282,20413,33176,4,1,0,4,1
283,25753,25753,1,0,0,4,0
284,25002,25002,2,0,0,2,0
285,53978,26294,2,0,1,1,1
286,26578,26578,2,0,0,3,0
287,26177,26177,0,0,0,3,0
288,17518,30147,1,1,0,1,0
289,37120,28776,3,1,1,2,1
290,25737,25737,1,0,0,1,0
291,26072,26072,1,0,0,4,0
292,26443,26443,1,0,0,1,0
293,25932,25932,2,0,0,4,0
294,25593,25593,1,0,0,4,0
295,22501,33411,1,1,0,1,0
296,52626,26052,1,0,1,1,1
297,25077,25077,1,0,0,3,0
298,25941,25941,2,0,0,4,0
299,47276,25734,1,0,1,1,1
300,25569,25569,1,0,0,4,0
301,25642,25642,2,0,0,1,0
302,25873,25873,0,0,0,4,0
303,60745,35516,1,1,1,1,1
304,25533,25533,2,0,0,4,0
305,58430,35457,3,1,1,1,1
306,16463,28086,2,1,0,1,0
307,20492,35236,2,1,0,4,0
308,25312,25312,2,0,0,2,0
309,25808,25808,1,0,0,3,0
310,19094,30967,1,1,0,2,0
311,25949,25949,1,0,0,2,0
312,28162,26745,3,1,1,1,1
313,25095,25095,2,0,0,3,0
314,26384,26384,0,0,0,1,0
315,21186,35092,1,1,0,1,0
316,49405,25543,2,0,1,3,1
317,24308,24308,2,0,0,4,0
318,25543,25543,1,0,0,2,0
319,63371,24492,2,0,1,3,1
320,26031,26031,0,0,0,4,0
321,38983,25644,4,0,1,4,1
322,20502,33545,1,1,0,3,0
323,25262,25262,2,0,0,4,0
324,11146,25688,1,1,0,1,0
325,80243,26203,1,0,1,3,1
326,25940,25940,1,0,0,1,0
327,37839,29755,2,1,1,2,1
328,26145,26145,2,0,0,2,0
329,20423,34216,3,1,0,3,1
330,46440,31149,2,1,1,4,1
331,25710,25710,2,0,0,3,0
332,66922,25842,2,0,1,3,1
333,26333,26333,1,0,0,4,0
334,25310,25310,1,0,0,2,0
335,17614,31864,2,1,0,1,0
336,20765,33656,2,1,0,3,0
337,16954,30074,1,1,0,4,0
338,18531,31856,1,1,0,1,0
339,25780,25780,1,0,0,1,0
340,21997,35450,2,1,0,4,0
341,18872,32206,1,1,0,4,0
342,25508,25508,1,0,0,3,0
343,25934,25934,1,0,0,3,0
344,25593,25593,1,0,0,4,0
345,41617,25265,1,0,1,3,1
346,37607,29484,2,1,1,1,1
347,25886,25886,1,0,0,3,0
348,26164,26164,3,0,0,4,0
349,52983,33371,2,1,1,2,1
350,36088,28714,2,1,1,4,1
351,25901,25901,1,0,0,2,0
352,25788,25788,1,0,0,1,0
353,19483,33730,1,1,0,1,0
354,11711,26078,1,1,0,2,0
355,25879,25879,1,0,0,2,0
356,24359,26979,2,1,1,4,1
357,59020,25616,2,0,1,2,1
358,26851,26851,1,0,0,1,0
359,21751,33883,1,1,0,2,0
360,15254,29388,2,1,0,4,0
361,25739,25739,2,0,0,4,0
362,14777,31281,1,1,0,1,0
363,15441,30322,1,1,0,3,0
364,18654,31338,2,1,0,2,0
365,33025,24565,1,0,1,4,1
366,23389,35041,1,1,0,1,0
367,46409,31775,1,1,1,2,1
368,25602,25602,1,0,0,1,0
369,22532,34905,1,1,0,4,0
370,25920,25920,0,0,0,1,0
371,59689,24954,1,0,1,3,1
372,27066,37642,1,1,0,4,0
373,16909,30802,1,1,0,4,0
374,17914,32291,1,1,0,3,0
375,49335,32348,2,1,1,1,1
376,25938,25938,2,0,0,1,0
377,53831,32793,2,1,1,1,1
378,25240,25240,0,0,0,3,0
379,21277,33805,2,1,0,3,0
380,48585,32105,2,1,1,2,1
381,20879,34033,0,1,0,4,0
382,54770,25915,2,0,1,4,1
383,17579,31093,3,1,0,3,1
384,17187,29794,1,1,0,4,0
385,24961,24961,4,0,0,1,1
386,22280,34612,2,1,0,4,0
387,13902,28464,2,1,0,2,0
388,27035,27035,0,0,0,4,0
389,43339,31998,2,1,1,4,1
390,26704,26704,1,0,0,4,0
391,17333,31981,1,1,0,4,0
392,23527,36115,3,1,0,3,1
393,26784,26784,0,0,0,2,0
394,19233,31649,2,1,0,2,0
395,25421,25421,2,0,0,3,0
396,61924,35155,2,1,1,4,1
397,22654,33317,1,1,0,4,0
398,25303,34404,2,1,0,4,0
399,22211,34042,2,1,0,3,0
400,25769,25769,1,0,0,2,0
401,50898,24424,2,0,1,1,1
402,38957,29522,1,1,1,2,1
403,18703,32160,1,1,0,3,0
404,26304,26304,4,0,0,1,1
405,25641,25641,2,0,0,3,0
406,26707,26707,1,0,0,4,0
407,15172,29218,1,1,0,4,0
408,20003,30313,3,1,0,3,1
409,17084,30085,2,1,0,3,0
410,26313,26313,2,0,0,4,0
411,25271,25271,0,0,0,3,0
412,21131,34460,1,1,0,4,0
413,16867,30700,3,1,0,1,1
414,21403,35425,2,1,0,4,0
415,25756,25756,1,0,0,3,0
416,26356,26356,2,0,0,4,0
417,23318,36113,2,1,0,1,1
418,18118,33249,2,1,0,1,1
419,67689,25223,2,0,1,2,1
420,25722,25722,1,0,0,4,0
421,26704,26704,1,0,0,4,0
422,16155,30370,2,1,0,3,0
423,18589,32699,1,1,0,2,0
424,15653,27983,2,1,0,4,0
425,18707,30982,2,1,0,1,0
426,20149,33335,1,1,0,1,0
427,26513,26513,1,0,0,3,0
428,18361,30525,1,1,0,2,0
429,19706,33998,1,1,0,1,0
430,19547,32818,3,1,0,3,1
431,16628,30671,1,1,0,2,0
432,57018,25329,3,0,1,4,1
433,26296,26296,1,0,0,2,0
434,20144,33588,1,1,0,1,0
435,26572,37781,1,1,0,1,0
436,26050,26050,1,0,0,3,0
437,19336,32899,1,1,0,1,0
438,16774,28442,2,1,0,1,0
439,25776,25776,1,0,0,3,0
440,26242,26242,1,0,0,1,0
441,25361,25361,1,0,0,4,0
442,25760,25760,1,0,0,3,0
443,56028,24223,2,0,1,3,1
444,45082,24791,1,0,1,2,1
445,18396,32507,2,1,0,4,0
446,26258,26258,1,0,0,3,0
447,21010,32469,1,1,0,4,0
448,20411,31834,1,1,0,1,0
449,26198,26198,1,0,0,3,0
450,19851,34767,1,1,0,4,0
451,57849,25168,3,0,1,4,1
452,39318,24450,2,0,1,3,1
453,17574,30685,1,1,0,2,0
454,24110,34411,2,1,0,3,0
455,49795,33522,2,1,1,3,1
456,25994,25994,1,0,0,4,0
457,37866,29801,2,1,1,3,1
458,26209,26209,2,0,0,1,0
459,26122,26122,1,0,0,3,0
460,17995,32589,1,1,0,2,0
461,25279,25279,2,0,0,2,0
462,25961,25961,2,0,0,3,0
463,19114,33698,2,1,0,4,0
464,19010,32607,1,1,0,2,0
465,25268,25268,2,0,0,3,0
466,50962,32867,2,1,1,2,1
467,59134,35306,3,1,1,1,1
468,19820,32460,2,1,0,4,0
469,26282,26282,1,0,0,2,0
470,54382,34220,2,1,1,2,1
471,17639,29890,1,1,0,4,0
472,21237,33896,1,1,0,2,0
473,26001,26001,1,0,0,2,0
474,25388,25388,2,0,0,1,0
475,26198,26198,1,0,0,3,0
476,22755,34068,2,1,0,4,0
477,25381,25381,1,0,0,4,0
478,63578,25296,2,0,1,4,1
479,16771,29854,1,1,0,3,0
480,18467,31253,3,1,0,3,1
481,25013,25013,1,0,0,2,0
482,19088,31986,1,1,0,1,0
483,22765,34310,1,1,0,4,0
484,25376,25376,1,0,0,2,0
485,25472,25472,3,0,0,2,0
486,58974,25892,2,0,1,4,1
487,43606,31713,2,1,1,3,1
488,26183,26183,2,0,0,4,0
489,26233,26233,1,0,0,1,0
490,25474,25474,2,0,0,4,0
491,52310,33200,2,1,1,1,1
492,51577,25913,0,0,1,2,1
493,21264,33804,1,1,0,4,0
494,25929,25929,2,0,0,4,0
495,49301,32886,2,1,1,1,1
496,19424,31518,2,1,0,4,0
497,26179,26179,1,0,0,3,0
498,26510,26510,3,0,0,3,0
499,25678,25678,2,0,0,3,0
500,16823,31465,1,1,0,4,0
501,25062,25062,0,0,0,2,0
502,51599,25460,3,0,1,4,1
503,62809,35527,1,1,1,2,1
504,14205,29973,2,1,0,2,0
505,49016,31882,2,1,1,1,1
506,18472,30491,2,1,0,2,0
507,45725,31733,5,1,1,4,1
508,18782,32284,1,1,0,2,0
509,18576,31445,3,1,0,4,1
510,51327,33619,1,1,1,1,1
511,25041,25041,1,0,0,4,0
512,25917,25917,1,0,0,3,0
513,23110,36954,1,1,0,2,0
514,57192,34051,3,1,1,3,1
515,16225,31161,2,1,0,1,0
516,57767,35120,2,1,1,3,1
517,37042,28873,1,1,1,2,1
518,25854,25854,1,0,0,1,0
519,25832,25832,1,0,0,1,0
520,25714,25714,1,0,0,3,0
521,17202,30973,1,1,0,1,0
522,37341,29712,3,1,1,4,1
523,59215,34821,2,1,1,2,1
524,20438,33056,2,1,0,2,0
525,67514,36853,2,1,1,2,1
526,25665,25665,4,0,0,2,1
527,65148,25156,2,0,1,2,1
528,26612,37818,1,1,0,3,0
529,25399,25399,1,0,0,4,0
530,37721,29061,2,1,1,1,1
531,38817,31037,2,1,1,4,1
532,16613,29988,2,1,0,3,0
533,19145,32625,1,1,0,2,0
534,50418,25968,1,0,1,2,1
535,26272,26272,1,0,0,1,0
536,20126,33257,1,1,0,1,0
537,25943,25943,2,0,0,2,0
538,18027,31893,3,1,0,1,1
539,15850,29756,0,1,0,2,0
540,26012,26012,1,0,0,1,0
541,19460,32286,2,1,0,3,0
542,23046,36444,1,1,0,1,0
543,26032,26032,2,0,0,3,0
544,56667,26602,3,0,1,2,1
545,33977,29208,1,1,1,2,1
546,26024,26024,2,0,0,2,0
547,17905,32840,1,1,0,2,0
548,19521,34117,1,1,0,1,0
549,19481,34818,0,1,0,3,0
550,51255,31953,4,1,1,4,1
551,26678,26678,1,0,0,1,0
552,21181,32440,2,1,0,3,0
553,25506,25506,3,0,0,2,0
554,26093,26093,1,0,0,2,0
555,25649,25649,1,0,0,3,0
556,26060,26060,1,0,0,4,0
557,44241,31054,2,1,1,4,1
558,44912,25229,2,0,1,3,1
559,61943,35109,2,1,1,4,1
560,67293,36221,2,1,1,1,1
561,25476,25476,1,0,0,3,0
562,26192,26192,2,0,0,2,0
563,19402,32840,3,1,0,2,1
564,48811,31309,1,1,1,2,1
565,56383,34171,2,1,1,3,1
566,26223,26223,2,0,0,2,0
567,25709,25709,1,0,0,4,0
568,18809,32412,1,1,0,1,0
569,25566,25566,2,0,0,1,0
570,15904,30803,1,1,0,3,0
571,26433,26433,1,0,0,4,0
572,23451,35659,2,1,0,2,1
573,25972,25972,2,0,0,2,0
574,17854,30286,2,1,0,1,0
575,18400,32338,1,1,0,3,0
576,14994,28083,0,1,0,4,0
577,20349,33115,1,1,0,4,0
578,25010,25010,1,0,0,1,0
579,19672,33017,1,1,0,1,0
580,43949,32579,2,1,1,4,1
581,13633,27804,2,1,0,2,0
582,25961,25961,2,0,0,3,0
583,21347,33971,1,1,0,3,0
584,22290,34275,2,1,0,4,0
585,25588,25588,1,0,0,1,0
586,25492,25492,0,0,0,4,0
587,18031,30513,2,1,0,1,0
588,38907,29542,1,1,1,4,1
589,25232,25232,2,0,0,2,0
590,24877,24877,1,0,0,1,0
591,24981,35402,1,1,0,1,0
592,58431,26311,2,0,1,4,1
593,23243,37437,1,1,0,2,0
594,46554,32100,2,1,1,3,1
595,25836,25836,2,0,0,4,0
596,26105,26105,2,0,0,2,0
597,52066,25407,3,0,1,3,1
598,17371,31862,1,1,0,3,0
599,26518,26518,1,0,0,4,0
600,26331,26331,1,0,0,2,0
601,60352,26474,2,0,1,4,1
602,18075,30426,3,1,0,3,1
603,24011,35791,1,1,0,3,0
604,20164,32849,1,1,0,2,0
605,18474,31247,1,1,0,3,0
606,26381,26381,1,0,0,3,0
607,15718,28430,2,1,0,1,0
608,22130,35134,2,1,0,2,1
609,63832,37133,2,1,1,2,1
610,43534,31337,2,1,1,4,1
611,17153,30919,1,1,0,1,0
612,17076,30208,1,1,0,2,0
613,17866,30066,1,1,0,3,0
614,17116,30222,1,1,0,2,0
615,25577,37371,1,1,0,1,0
616,18122,32291,2,1,0,2,0
617,46099,24939,2,0,1,1,1
618,25933,25933,2,0,0,3,0
619,19429,31853,0,1,0,1,0
620,26124,26124,1,0,0,1,0
621,16082,30528,2,1,0,1,0
622,26561,26561,1,0,0,4,0
623,26010,26010,1,0,0,2,0
624,26344,26344,1,0,0,2,0
625,25876,25876,1,0,0,3,0
626,55460,25077,3,0,1,3,1
627,19070,31957,2,1,0,1,0
628,16102,30795,2,1,0,1,0
629,20326,33348,1,1,0,2,0
630,44215,31263,1,1,1,1,1
631,25866,25866,2,0,0,1,0
632,13578,27059,2,1,0,2,0
633,25627,25627,2,0,0,2,0
634,46956,24918,1,0,1,1,1
635,52790,25404,1,0,1,3,1
636,26245,26245,1,0,0,3,0
637,24705,24705,1,0,0,2,0
638,25408,25408,1,0,0,3,0
639,22865,36058,3,1,0,1,1
640,19772,32806,2,1,0,2,0
641,25421,25421,1,0,0,2,0
642,59854,35280,2,1,1,3,1
643,25559,37071,3,1,0,3,1
644,43748,31219,2,1,1,1,1
645,26696,26696,1,0,0,2,0
646,20337,33433,2,1,0,4,0
647,25310,25310,2,0,0,3,0
648,17550,29121,2,1,0,4,0
649,67276,26092,2,0,1,2,1
650,25386,25386,1,0,0,2,0
651,19157,32820,1,1,0,4,0
652,47768,31331,2,1,1,1,1
653,26099,26099,2,0,0,2,0
654,58071,33929,2,1,1,3,1
655,17614,31601,1,1,0,1,0
656,26452,26452,1,0,0,4,0
657,25315,25315,1,0,0,1,0
658,25255,25255,1,0,0,3,0
659,68455,37448,3,1,1,4,1
660,22186,34794,1,1,0,1,0
661,26737,26737,3,0,0,1,1
662,19070,33890,1,1,0,2,0
663,62996,25824,2,0,1,2,1
664,18285,31703,3,1,0,4,1
665,52923,25315,3,0,1,2,1
666,25678,25678,2,0,0,1,0
667,26556,26556,1,0,0,3,0
668,18403,31283,3,1,0,4,1
669,26057,26057,0,0,0,2,0
670,17750,30750,2,1,0,1,0
671,19822,34536,1,1,0,1,0
672,69945,25541,2,0,1,1,1
673,47613,26766,2,0,1,2,1
674,40330,30668,1,1,1,4,1
675,54563,25575,0,0,1,4,1
676,26543,26543,1,0,0,4,0
677,41589,30762,2,1,1,2,1
678,20089,32999,3,1,0,2,1
679,56030,25400,0,0,1,2,1
680,25854,25854,1,0,0,3,0
681,25244,25244,0,0,0,3,0
682,26556,26556,1,0,0,2,0
683,19406,32314,1,1,0,4,0
684,24962,37325,2,1,0,2,1
685,68358,37311,2,1,1,1,1
686,19795,34267,1,1,0,2,0
687,20660,31247,1,1,0,1,0
688,26069,26069,1,0,0,4,0
689,23173,35143,1,1,0,3,0
690,26268,26268,1,0,0,1,0
691,31955,27303,4,1,1,4,1
692,25813,25813,1,0,0,3,0
693,52754,33122,2,1,1,4,1
694,50602,25534,0,0,1,2,1
695,66338,36338,2,1,1,4,1
696,18209,31441,3,1,0,4,1
697,18672,29982,2,1,0,2,0
698,26521,26521,1,0,0,4,0
699,21228,33884,1,1,0,3,0
700,18624,32593,2,1,0,4,0
701,14235,26598,2,1,0,2,0
702,26161,26161,1,0,0,4,0
703,25246,25246,1,0,0,3,0
704,25921,25921,1,0,0,4,0
705,55756,24841,2,0,1,2,1
706,26134,26134,1,0,0,4,0
707,17556,30649,1,1,0,3,0
708,22111,33817,1,1,0,1,0
709,27135,27135,1,0,0,2,0
710,25322,25322,1,0,0,1,0
711,20080,31878,2,1,0,1,1
712,26125,26125,1,0,0,2,0
713,26136,26136,0,0,0,1,0
714,19989,33435,1,1,0,1,0
715,19736,32341,1,1,0,4,0
716,26254,26254,1,0,0,2,0
717,36893,29702,3,1,1,4,1
718,25125,25125,3,0,0,4,0
719,25586,25586,1,0,0,4,0
720,25720,25720,3,0,0,1,1
721,20177,33528,1,1,0,2,0
722,20306,33365,1,1,0,1,0
723,22654,35738,1,1,0,1,0
724,20344,33868,1,1,0,1,0
725,21702,33961,1,1,0,2,0
726,25918,25918,3,0,0,4,0
727,25221,25221,2,0,0,2,0
728,25540,25540,2,0,0,1,0
729,25508,25508,1,0,0,3,0
730,54870,33437,1,1,1,2,1
731,16728,32706,2,1,0,3,0
732,44902,31420,2,1,1,1,1
733,37818,25617,1,0,1,2,1
734,16723,28936,1,1,0,2,0
735,18595,31512,1,1,0,1,0
736,26793,26793,2,0,0,2,0
737,26262,26262,1,0,0,4,0
738,23082,36088,1,1,0,1,0
739,26671,26671,1,0,0,4,0
740,18309,32405,2,1,0,2,0
741,53460,33477,2,1,1,4,1
742,18508,32450,1,1,0,2,0
743,59764,34467,1,1,1,2,1
744,25379,25379,1,0,0,3,0
745,14719,27025,1,1,0,1,0
746,23043,36087,2,1,0,2,1
747,19014,32562,1,1,0,4,0
748,18992,31530,2,1,0,2,0
749,25983,25983,2,0,0,1,0
750,19848,33318,1,1,0,1,0
751,19988,33259,1,1,0,4,0
752,24909,24909,1,0,0,4,0
753,19484,31218,2,1,0,4,0
754,25276,25276,1,0,0,3,0
755,26050,26050,1,0,0,1,0
756,41171,30140,4,1,1,2,1
757,18195,31310,1,1,0,3,0
758,58503,26260,2,0,1,3,1
759,34242,28631,3,1,1,1,1
760,17069,28768,2,1,0,3,0
761,25439,25439,2,0,0,3,0
762,17234,29701,2,1,0,1,0
763,24942,24942,2,0,0,4,0
764,20535,34062,1,1,0,1,0
765,24674,36887,2,1,0,3,1
766,25310,25310,1,0,0,1,0
767,23259,35702,2,1,0,1,1
768,56360,34242,1,1,1,2,1
769,52052,32156,2,1,1,1,1
770,13866,26487,2,1,0,4,0
